LeaderCountryOrIGO,LeaderFullName,CountryVisited_Planeado,CityVisited_Planeado,TripYear_Planeado,TripStartDate_Planeado,TripEndDate_Planeado,Visit_Category,Visit_Subtype,Counterpart_Planeado,Cancellation_Reason,Source_Verification,Source_Reliability,Methodological_Notes
Argentina,Eduardo Duhalde,Chile,Santiago,2002,2002-08-19,NA,Bilateral,Working Visit,Ricardo Lagos,Visita planificada a Chile / reunion con Lagos. CANCELADA por urgentes situaciones internas que requirieron su presencia en Argentina.,https://www.ambito.com/politica/duhalde-el-dia-chile-n3195320,Medium,Viaje cancelado; sin duracion. Fecha original 19 ago 2002.
Argentina,Eduardo Duhalde,Morocco,Rabat,2003,2003-04-01,NA,Bilateral,Working Visit,Rey Mohammed VI (visita planificada),Visita bilateral a Marruecos originalmente prevista como parte de la ultima gira internacional del mandato. CANCELADA (junto con una visita a Grecia) a raiz de la guerra de Irak; el viaje final quedo reducido a Italia/Vaticano y Espana.,https://www.lanacion.com.ar/politica/duhalde-partio-hacia-italia-en-su-ultima-gira-presidencial-nid486169/,High,"Lead detectado por comparacion con Diplometrics COLT (TripID 1689-ARG-MAR-37712), 2026-08-03. LA NACION (4-abr-2003) confirma explicitamente que 'como consecuencia de la guerra en Irak, se quitaron de la agenda las visitas a Marruecos y Grecia que estaban inicialmente previstas'. Se carga como Canceled por regla del proyecto (5.1: los viajes cancelados se incluyen como dato de primera clase). COLT no distingue cancelaciones y aparentemente cargo la visita planificada como si hubiera ocurrido -- caso de 'viaje fantasma' del tipo advertido en la comparacion metodologica con COLT (05_BITACORA/comparacion_diplometrics_colt.txt)."
Argentina,Cristina Fernández de Kirchner,China,Beijing,2010,2010-01-25,NA,Bilateral,State Visit,Hu Jintao / Wen Jiabao,Gira de 10 dias prevista a China (comitiva empresarial/sindical/legislativa; inversiones ferroviarias por ~US$3000 M) con inicio previsto el 25/1/2010. CANCELADA por la crisis institucional del Banco Central (remocion de Martin Redrado) y el conflicto con el vicepresidente Cobos.,https://www.diariodecuyo.com.ar/noticias/cristina-no-se-va-a-china-por-desconfiar-de-cobos-912819.html,Medium,"Viaje reprogramado y finalmente realizado en julio 2010 (ver Trip_ID 82, Journey_ID ARG-CFK-J077, cuyas notas ya referencian esta suspension). Fecha de inicio prevista segun Diario de Cuyo (20/1/2010, 'el lunes proximo'); itinerario detallado de ciudades no confirmado mas alla de Beijing. Fila agregada en fase de completitud (2026-07-22)."
Argentina,Cristina Fernández de Kirchner,Mexico,Mexico City,2011,2011-04-13,NA,Bilateral,State Visit,Felipe Calderón,Visita de Estado a Mexico prevista 13 abr. CANCELADA por lipotimia/hipotension. Reprogramacion a fin de mayo tampoco se concreto.,https://www.lanacion.com.ar/politica/cristina-viajara-a-mexico-tras-las-dudas-por-su-cuadro-de-hipotension-nid1365226/,High,Cancelado; sin duracion.
Argentina,Cristina Fernández de Kirchner,Paraguay,Asunción,2011,2011-05-01,NA,Multilateral,Regional Summit,Cumbre regional en Paraguay,Cumbre en Paraguay (mayo). CANCELADA (motivo declarado: 'hacia mucho calor'). Vinculada a posterior suspension de MERCOSUR Asuncion 29 jun.,https://www.lanacion.com.ar/politica/a-cristina-le-sienta-bien-el-negro-nid1386802/,Medium,Cancelado; sin duracion. Evento exacto a confirmar; fecha estimada YYYY-MM-01.
Argentina,Mauricio Macri,France,Paris,2019,2019-04-26,NA,Bilateral,Working Visit,Emmanuel Macron (gira Francia-Bélgica),"Gira Paris-Bruselas (Macron, OCDE, rey Felipe, UE). CANCELADA por la inflacion (4,7% en marzo) y suba del dolar.",https://www.infobae.com/politica/2019/04/16/mauricio-macri-anuncia-el-nuevo-paquete-de-medidas-economicas-y-suspende-el-viaje-a-paris-bruselas-y-zurich-para-seguirlo-de-cerca/,Medium,Cancelado; sin duracion. Anuncio 16/4/2019.
Argentina,Mauricio Macri,Chile,Santiago,2019,2019-11-16,NA,Multilateral,Global Forum,Cumbre APEC / COP25,Cumbres APEC y COP25 en Chile. CANCELADAS por el pais anfitrion (Pinera) por la crisis social chilena.,https://www.latercera.com/politica/noticia/presidente-pinera-informa-chile-ya-no-realizara-la-apec-la-cop-25/883655/,Medium,Cancelado por el anfitrion; sin duracion.
Argentina,Alberto Fernández,United Arab Emirates,Dubai,2022,2022-03-13,NA,Bilateral,Working Visit,NA,"Gira prevista (13-17/3) a Abu Dabi, Dubai y Arabia Saudita en busca de inversiones, con visita al pabellón argentino en la Expo Dubái. CANCELADA sin fecha por la invasión rusa a Ucrania.",https://www.perfil.com/noticias/actualidad/alberto-fernandez-suspendio-sin-fecha-su-viaje-a-abu-dabi-dubai-y-arabia-saudita.phtml,Medium,"Gira nunca reprogramada durante el mandato (no se halló fuente de una nueva fecha). | Counterpart_Type-QA 2026-07-27: gira CANCELADA antes de confirmarse agenda; Counterpart_Event es NA por lo que no se identifico contraparte especifica -- se mantiene default (jefe de Estado/Gobierno) por tratarse de una gira de inversion de tipo protocolar estandar, revisar si aparece fuente con el nombre de la contraparte prevista."
Argentina,Alberto Fernández,Saudi Arabia,Riyadh,2022,2022-03-13,NA,Bilateral,Working Visit,NA,"Gira prevista (13-17/3) a Abu Dabi, Dubai y Arabia Saudita en busca de inversiones. CANCELADA sin fecha por la invasión rusa a Ucrania.",https://www.perfil.com/noticias/actualidad/alberto-fernandez-suspendio-sin-fecha-su-viaje-a-abu-dabi-dubai-y-arabia-saudita.phtml,Medium,"Gira nunca reprogramada durante el mandato (no se halló fuente de una nueva fecha). Tramo Arabia Saudita, mismo Journey_ID que Emiratos (Trip_ID 261). | Counterpart_Type-QA 2026-07-27: gira CANCELADA antes de confirmarse agenda; Counterpart_Event es NA por lo que no se identifico contraparte especifica -- se mantiene default (jefe de Estado/Gobierno) por tratarse de una gira de inversion de tipo protocolar estandar, revisar si aparece fuente con el nombre de la contraparte prevista."
Argentina,Javier Milei,Paraguay,Asunción,2026,2026-06-30,NA,Multilateral,Regional Summit,LXVIII Cumbre del MERCOSUR,"Participar de la Cumbre del MERCOSUR; cancelado por priorizar agenda interna tras crisis de gabinete (salida de Adorni, jura de Santilli).",https://www.infobae.com/politica/2026/07/01/finalmente-javier-milei-no-viajara-a-estados-unidos-por-el-dia-de-la-independencia/,Medium,Argentina representada por el canciller Quirno.
Argentina,Javier Milei,United States,New York,2026,2026-07-04,NA,Bilateral,Working Visit,Festejos del 250° aniversario de la Independencia de EEUU (Donald Trump),Participar de los actos del 4 de julio junto a Trump; cancelado por agenda interna y actos del 9 de julio en Tucuman.,https://www.losandes.com.ar/politica/javier-milei-no-viajara-estados-unidos-los-festejos-del-4-julio-organizados-trump-n5996962,Medium,Anunciado el 29/5 (Casa Rosada) y cancelado el 1/7; versiones oficiales contradictorias (FUENTE-DEBIL en pendientes).
Brazil,Luiz Inácio Lula da Silva,Switzerland,Davos,2010,2010-01-28,NA,Multilateral,Global Forum,Foro Económico Mundial (premio 'Estadista Global'),Objetivo original: recibir el premio 'Estadista Global' del Foro Economico Mundial. CANCELADO por un cuadro de hipertension; lo represento el excanciller Celso Amorim.,https://pt.org.br/ha-nove-anos-lula-recebia-trofeu-de-estadista-global/,Medium,"CORREGIDO 2026-07-08: la base lo daba por REALIZADO y NO OCURRIO. Lula no viajo a Davos: segun Klaus Schwab, 'estava sentado em seu aviao quando o medico vetou a viagem porque estava sofrendo de pressao alta'. Kofi Annan entrego el premio a Celso Amorim el 29-ene-2010. La lista de viajes de la Biblioteca da Presidencia no registra ningun viaje en enero de 2010."
Brazil,Luiz Inácio Lula da Silva,Canada,Toronto,2010,2010-06-26,NA,Multilateral,Global Forum,Cúpula do G20 de Toronto,Objetivo original: Cumbre del G20 de Toronto. CANCELADO el 25-jun para monitorear las inundaciones del Nordeste brasileno; lo represento el ministro de Hacienda Guido Mantega.,https://en.wikipedia.org/wiki/2010_G20_Toronto_summit,Medium,"CORREGIDO 2026-07-08: la base lo daba por REALIZADO y NO OCURRIO. Celso Amorim: 'o ministro Mantega o representara na reuniao do G20, porque ele quer acompanhar as medidas que estao sendo tomadas em relacao as enchentes no Nordeste' (40 muertos en Pernambuco y Alagoas). La Biblioteca no registra viaje a Canada en junio de 2010."
Brazil,Dilma Rousseff,United States,Washington D.C.,2013,2013-10-23,NA,Bilateral,State Visit,Visita de Estado a Barack Obama,Visita de Estado prevista para el 23/10/2013. CANCELADA/postergada (anuncio 17/9/2013) por el espionaje de la NSA (caso Snowden) sobre Dilma y Petrobras.,https://www.npr.org/sections/thetwo-way/2013/09/17/223414386/brazilian-president-postpones-state-visit-over-spying-concerns,Medium,Cancelado emblematico; sin duracion. Unica visita de Estado a EE.UU. ofrecida ese anio a un lider extranjero.
Brazil,Jair Bolsonaro,Switzerland,Davos,2020,2020-01-21,NA,Multilateral,Global Forum,Foro Económico Mundial 2020,Participacion prevista en Davos 2020. CANCELADA por decision del gobierno (razones de seguridad/conveniencia); fue Guedes.,https://www.poder360.com.br/governo/bolsonaro-cancela-ida-a-davos/,Medium,"Cancelado; sin duracion. Motivo exacto a confirmar. NOTA 2026-07-20: segun el vocero de la Presidencia (Otavio do Rego Barros), la cancelacion de Davos 2020 respondio a una combinacion de factores economicos, de seguridad y politicos, SIN que la seguridad fuera el motivo exclusivo o principal (poder360, 8/1/2020). El texto cargado ('razones de seguridad/conveniencia') es consistente con esta fuente."
