Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name
BRA-FHC-J001,1,Fernando Henrique Cardoso,Brasil,Completed,2000-03-07,2000-03-08,2,Portugal,Europe,Lisbon,Bilateral,State Visit,NA,Jorge Sampaio / Cúpula (avião fretado),Jefe de Estado/Gobierno,Visita a Portugal; relaciones bilaterales y comerciales. Condecoracion Ordem do Infante D. Henrique (07/03).,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Fernando_Henrique_Cardoso,Medium,"Ordem do Infante 07/03/2000 (ABL). Fechas de dia estimadas. NOTA 2026-07-21: confirmado por lista verificada (pt.wikipedia.org, Lista de viagens presidenciais de Fernando Henrique Cardoso), que cita nota oficial do MRE 'Programa da Visita a Portugal do Presidente Fernando Henrique Cardoso' (03/03/2000) y notas de prensa Folha de S.Paulo 'FHC usará avião fretado para viagem a Portugal' (09/02/2000) y Diário do Grande ABC 'FHC define comitiva para viagens a Portugal e Chile' (03/03/2000). Fechas (07-08/03/2000) y ciudad (Lisboa) consistentes con lo cargado.",NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J002,2,Fernando Henrique Cardoso,Brasil,Completed,2000-03-11,2000-03-11,1,Chile,South America,Santiago,Bilateral,Inauguration/Funeral,NA,Posse de Ricardo Lagos,Jefe de Estado/Gobierno,Asuncion de Ricardo Lagos como presidente de Chile.,https://www1.folha.uol.com.br/fol/pol/ult10032000028.htm,High,Folha 10/03/2000; posse 11/03.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J003,3,Fernando Henrique Cardoso,Brasil,Completed,2000-03-29,2000-03-30,2,Venezuela,South America,Caracas,Bilateral,Working Visit,NA,Hugo Chávez,Jefe de Estado/Gobierno,Visita a Venezuela; integracion sudamericana y energia. Condecoracion Orden Francisco de Miranda (29/03).,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Fernando_Henrique_Cardoso,Medium,"Fecha por condecoracion (ABL, 29/03/2000). NOTA 2026-07-21: confirmado por lista verificada (pt.wikipedia.org, Lista de viagens presidenciais de Fernando Henrique Cardoso), que cita nota oficial del MRE 'Visita do Presidente Fernando Henrique Cardoso à Venezuela' (31/03/2000) y Folha de S.Paulo 'FHC busca aproximação entre América Central e Mercosul' (04/04/2000, post-visita). Fecha (29-30/03/2000) y ciudad (Caracas) consistentes con lo cargado.",NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J004,4,Fernando Henrique Cardoso,Brasil,Completed,2000-06-15,2000-06-17,3,Colombia,South America,Cartagena,Multilateral,Regional Summit,NA,Cúpula do Grupo do Rio (Cartagena),NA,Cumbre del Grupo de Rio en Cartagena. FHC 'dançou porro' en la fiesta de la cumbre (Folha 17/06).,https://www1.folha.uol.com.br/fsp/brasil/fc1706200010.htm,High,Folha 17/06/2000.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J005,5,Fernando Henrique Cardoso,Brasil,Completed,2000-05-31,2000-06-02,3,Germany,Europe,Berlin,Multilateral,Global Forum,TRUE,Cúpula da Governança Progressiva (Terceira Via),NA,"Cumbre progresista (Terceira Via) con Schroder, Jospin, Blair; desempleo. FHC-Jospin (Folha 05/06).",https://www1.folha.uol.com.br/fsp/brasil/fc0506200006.htm,Medium,FHC viajo a Alemania (DGABC 30/05); tema desempleo con Jospin.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J006,6,Fernando Henrique Cardoso,Brasil,Completed,2000-09-06,2000-09-08,3,United States,North America,New York,Multilateral,Global Forum,NA,Cúpula do Milênio da ONU,NA,Cumbre del Milenio de la ONU (mayor reunion de jefes de Estado hasta entonces).,https://www.un.org/en/conferences/environment/newyork2000,High,Fechas oficiales de la Cumbre del Milenio (6-8 sep 2000).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J007,7,Fernando Henrique Cardoso,Brasil,Completed,2000-10-02,2000-10-05,4,France,Europe,Paris,Bilateral,Working Visit,NA,Busca de investimentos europeus,Jefe de Estado/Gobierno,Gira europea en busca de inversiones (Folha 03/10/2000).,https://www1.folha.uol.com.br/fsp/brasil/fc0310200007.htm,Medium,Destino/ciudad exacta a confirmar; 'investimentos europeus'.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J008,8,Fernando Henrique Cardoso,Brasil,Completed,2000-11-30,2000-12-01,2,Mexico,North America,Mexico City,Bilateral,Inauguration/Funeral,NA,Posse de Vicente Fox,Jefe de Estado/Gobierno,Asuncion de Vicente Fox como presidente de Mexico (fin de 71 anios del PRI).,https://www1.folha.uol.com.br/folha/mundo/ult94u13800.shtml,High,Folha 29/11/2000; posse 01/12.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J009,9,Fernando Henrique Cardoso,Brasil,Completed,2001-01-19,2001-01-21,3,South Korea,Asia-Pacific,Seoul,Bilateral,State Visit,NA,Kim Dae-jung,Jefe de Estado/Gobierno,Visita de Estado a Corea del Sur; FHC 'pregou reconciliacao entre coreanos' (Folha 20/01).,https://www1.folha.uol.com.br/fsp/brasil/fc2001200109.htm,Medium,Posible tramo de gira asiatica; verificar otros destinos.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J010,10,Fernando Henrique Cardoso,Brasil,Completed,2001-03-29,2001-03-31,3,United States,North America,Washington D.C.,Bilateral,Working Visit,NA,George W. Bush,Jefe de Estado/Gobierno,Primera reunion con Bush; ALCA y comercio. Planalto divulgo agenda (Folha 27/03).,https://www1.folha.uol.com.br/folha/brasil/ult96u17636.shtml,Medium,Fechas de dia estimadas.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
